Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
Land area (sq. km),AG.LND.TOTL.K2,Afghanistan,AFG,652230
Land area (sq. km),AG.LND.TOTL.K2,Albania,ALB,27400
Land area (sq. km),AG.LND.TOTL.K2,Algeria,DZA,2381741
Land area (sq. km),AG.LND.TOTL.K2,American Samoa,ASM,200
Land area (sq. km),AG.LND.TOTL.K2,Andorra,AND,470
Land area (sq. km),AG.LND.TOTL.K2,Angola,AGO,1246700
Land area (sq. km),AG.LND.TOTL.K2,Antigua and Barbuda,ATG,440
Land area (sq. km),AG.LND.TOTL.K2,Argentina,ARG,2736690
Land area (sq. km),AG.LND.TOTL.K2,Armenia,ARM,28470
Land area (sq. km),AG.LND.TOTL.K2,Aruba,ABW,180
Land area (sq. km),AG.LND.TOTL.K2,Australia,AUS,7692020
Land area (sq. km),AG.LND.TOTL.K2,Austria,AUT,82520
Land area (sq. km),AG.LND.TOTL.K2,Azerbaijan,AZE,82650
Land area (sq. km),AG.LND.TOTL.K2,"Bahamas, The",BHS,10010
Land area (sq. km),AG.LND.TOTL.K2,Bahrain,BHR,790
Land area (sq. km),AG.LND.TOTL.K2,Bangladesh,BGD,130170
Land area (sq. km),AG.LND.TOTL.K2,Barbados,BRB,430
Land area (sq. km),AG.LND.TOTL.K2,Belarus,BLR,202950
Land area (sq. km),AG.LND.TOTL.K2,Belgium,BEL,30280
Land area (sq. km),AG.LND.TOTL.K2,Belize,BLZ,22810
Land area (sq. km),AG.LND.TOTL.K2,Benin,BEN,112760
Land area (sq. km),AG.LND.TOTL.K2,Bermuda,BMU,54
Land area (sq. km),AG.LND.TOTL.K2,Bhutan,BTN,38140
Land area (sq. km),AG.LND.TOTL.K2,Bolivia,BOL,1083300
Land area (sq. km),AG.LND.TOTL.K2,Bosnia and Herzegovina,BIH,51200
Land area (sq. km),AG.LND.TOTL.K2,Botswana,BWA,566730
Land area (sq. km),AG.LND.TOTL.K2,Brazil,BRA,8358140
Land area (sq. km),AG.LND.TOTL.K2,British Virgin Islands,VGB,150
Land area (sq. km),AG.LND.TOTL.K2,Brunei Darussalam,BRN,5270
Land area (sq. km),AG.LND.TOTL.K2,Bulgaria,BGR,108560
Land area (sq. km),AG.LND.TOTL.K2,Burkina Faso,BFA,273600
Land area (sq. km),AG.LND.TOTL.K2,Burundi,BDI,25680
Land area (sq. km),AG.LND.TOTL.K2,Cabo Verde,CPV,4030
Land area (sq. km),AG.LND.TOTL.K2,Cambodia,KHM,176520
Land area (sq. km),AG.LND.TOTL.K2,Cameroon,CMR,472710
Land area (sq. km),AG.LND.TOTL.K2,Canada,CAN,8788700
Land area (sq. km),AG.LND.TOTL.K2,Cayman Islands,CYM,240
Land area (sq. km),AG.LND.TOTL.K2,Central African Republic,CAF,622980
Land area (sq. km),AG.LND.TOTL.K2,Chad,TCD,1259200
Land area (sq. km),AG.LND.TOTL.K2,Channel Islands,CHI,198
Land area (sq. km),AG.LND.TOTL.K2,Chile,CHL,743532
Land area (sq. km),AG.LND.TOTL.K2,China,CHN,9388210
Land area (sq. km),AG.LND.TOTL.K2,Colombia,COL,1109500
Land area (sq. km),AG.LND.TOTL.K2,Comoros,COM,1861
Land area (sq. km),AG.LND.TOTL.K2,"Congo, Dem. Rep.",COD,2267050
Land area (sq. km),AG.LND.TOTL.K2,"Congo, Rep.",COG,341500
Land area (sq. km),AG.LND.TOTL.K2,Costa Rica,CRI,51060
Land area (sq. km),AG.LND.TOTL.K2,Cote d'Ivoire,CIV,318000
