Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, female",SP.POP.TOTL.FE.IN,Afghanistan,AFG,5346409,9727541,16172321,16682054,17115346,17614722,18136922,18679089,19279930,19844584,20362329
"Population, female",SP.POP.TOTL.FE.IN,Albania,ALB,1613977,1557540,1439863,1435812,1433925,1433238,1430495,1425364,1418585,1407212,1392115
"Population, female",SP.POP.TOTL.FE.IN,Algeria,DZA,12547674,15076418,19004433,19390923,19783015,20175233,20564404,20948465,21318767,21680725,22040987
"Population, female",SP.POP.TOTL.FE.IN,American Samoa,ASM,23281,28572,26017,25629,25208,24762,24290,23786,23268,22746,22399
"Population, female",SP.POP.TOTL.FE.IN,Andorra,AND,25179,31812,35473,35557,35913,36456,36943,37502,38084,38673,39038
"Population, female",SP.POP.TOTL.FE.IN,Angola,AGO,5991207,8339311,13746371,14248799,14764575,15293335,15828040,16370553,16910989,17452283,17998220
"Population, female",SP.POP.TOTL.FE.IN,Antigua and Barbuda,ATG,32834,39748,46748,47087,47388,47658,47910,48156,48428,48709,48981
"Population, female",SP.POP.TOTL.FE.IN,Argentina,ARG,16574141,18790028,21562981,21791541,22019065,22244116,22467488,22689693,22911069,23130548,23345532
"Population, female",SP.POP.TOTL.FE.IN,Armenia,ARM,1837371,1672231,1568781,1565465,1561467,1556899,1551563,1545834,1540097,1534475,1530390
"Population, female",SP.POP.TOTL.FE.IN,Aruba,ABW,33480,46269,54403,54828,55224,55591,55935,56254,56373,56330,56272
"Population, female",SP.POP.TOTL.FE.IN,Australia,AUS,8555086,9585767,11807077,11988344,12185645,12392713,12581035,12766991,12921360,12934659,13092536
"Population, female",SP.POP.TOTL.FE.IN,Austria,AUT,4002701,4136746,4368440,4406154,4444108,4472047,4492714,4511982,4529542,4548093,4590312
"Population, female",SP.POP.TOTL.FE.IN,Azerbaijan,AZE,3714277,4179613,4843397,4897308,4949205,4995509,5036324,5076093,5110146,5135000,5137643
"Population, female",SP.POP.TOTL.FE.IN,"Bahamas, The",BHS,137614,166136,201821,203844,205736,207529,209250,210821,211965,212878,214167
"Population, female",SP.POP.TOTL.FE.IN,Bahrain,BHR,214558,291872,500430,520442,532635,544637,555346,560779,557039,554616,560034
"Population, female",SP.POP.TOTL.FE.IN,Bangladesh,BGD,52266330,63309967,78287731,79294197,80325176,81371533,82369393,83352043,84357236,85358163,86327159
"Population, female",SP.POP.TOTL.FE.IN,Barbados,BRB,134373,137797,144824,145073,145315,145542,145752,145957,146165,146366,146550
"Population, female",SP.POP.TOTL.FE.IN,Belarus,BLR,5424768,5330773,5080019,5087057,5091613,5086699,5077117,5069468,5052036,5014609,4979107
"Population, female",SP.POP.TOTL.FE.IN,Belgium,BEL,5095639,5238286,5700881,5729707,5754446,5772621,5794664,5821746,5842749,5863808,5911748
"Population, female",SP.POP.TOTL.FE.IN,Belize,BLZ,90169,118866,175274,178905,182514,186106,189707,193151,196111,198800,201525
"Population, female",SP.POP.TOTL.FE.IN,Benin,BEN,2608813,3529498,5313453,5469779,5630820,5796573,5965949,6138319,6312347,6487184,6663569
"Population, female",SP.POP.TOTL.FE.IN,Bermuda,BMU,30064,31707,33469,33515,33186,32880,32943,32985,33021,33004,32917
