Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, male",SP.POP.TOTL.MA.IN,Afghanistan,AFG,5348387,9815442,16543889,17071446,17520861,18028696,18549862,19090409,19692301,20254878,20766442
"Population, male",SP.POP.TOTL.MA.IN,Albania,ALB,1672564,1531486,1449241,1444890,1442176,1440219,1435881,1428828,1419264,1404454,1385573
"Population, male",SP.POP.TOTL.MA.IN,Algeria,DZA,12970400,15698203,19755734,20152232,20556314,20961313,21362603,21756903,22132899,22497244,22862237
"Population, male",SP.POP.TOTL.MA.IN,American Samoa,ASM,24538,29657,26199,25739,25240,24701,24134,23535,22921,22289,21873
"Population, male",SP.POP.TOTL.MA.IN,Andorra,AND,28390,34285,36148,36188,36628,37380,38071,38842,39615,40361,40786
"Population, male",SP.POP.TOTL.MA.IN,Angola,AGO,5837431,8054751,13381965,13878923,14390171,14915293,15445494,15983035,16517497,17051491,17590767
"Population, male",SP.POP.TOTL.MA.IN,Antigua and Barbuda,ATG,30494,35307,42488,42853,43176,43461,43715,43961,44236,44511,44782
"Population, male",SP.POP.TOTL.MA.IN,Argentina,ARG,16063515,18280746,21106519,21340426,21571303,21800696,22027014,22249019,22465694,22678199,22889298
"Population, male",SP.POP.TOTL.MA.IN,Armenia,ARM,1719168,1496293,1321149,1313130,1304368,1295024,1284995,1274767,1265512,1256498,1250079
"Population, male",SP.POP.TOTL.MA.IN,Aruba,ABW,32231,42833,49191,49430,49650,49847,50026,50188,50211,50207,50173
"Population, male",SP.POP.TOTL.MA.IN,Australia,AUS,8510043,9443035,11668610,11827651,12005262,12199874,12382224,12567835,12727887,12750753,12913005
"Population, male",SP.POP.TOTL.MA.IN,Austria,AUT,3675149,3874820,4177916,4236544,4292559,4325519,4347806,4367938,4387322,4407703,4451539
"Population, male",SP.POP.TOTL.MA.IN,Azerbaijan,AZE,3460922,3868986,4691683,4752032,4808608,4858524,4903447,4948191,4982975,5002750,5004112
"Population, male",SP.POP.TOTL.MA.IN,"Bahamas, The",BHS,133065,158879,187310,188854,190240,191491,192656,193737,194506,195028,195817
"Population, male",SP.POP.TOTL.MA.IN,Bahrain,BHR,302861,419570,810704,841699,877025,912197,931994,933409,920430,908649,912199
"Population, male",SP.POP.TOTL.MA.IN,Bangladesh,BGD,54881321,65883360,77673568,78535803,79459393,80422431,81314565,82164179,83063714,83998088,84859213
"Population, male",SP.POP.TOTL.MA.IN,Barbados,BRB,124496,126860,132669,133010,133334,133644,133936,134222,134528,134833,135084
"Population, male",SP.POP.TOTL.MA.IN,Belarus,BLR,4764579,4648837,4368497,4374019,4377765,4372291,4361667,4350290,4327916,4287977,4248965
